p_creation_month,region,country,channel,network,sub_channel,os_name,spend,clicks,impressions,installs,signups,new_customers,ltv_projection_3yr
2024-01,AFRICA,Kenya,display,google,acquisition,android,24263.88794,274838.9628,26529862.55,15164.88287,8911.923062,1523.370997,16.31649096
2024-01,AFRICA,Kenya,display,google,acquisition,ios,5447.991844,61603.73713,5770373.154,1476.723008,1.752350815,250.5433332,28.59974996
2024-01,AFRICA,Kenya,display,google,activation,android,1577.835471,26112.18478,2551433.479,62.58516195,83.40874276,89.26256997,17.94597213
2024-01,AFRICA,Kenya,paid_social,facebook,acquisition,android,1582.227765,43540.07317,7158845.824,2472.914392,1521.866416,189.1818624,10.46685195
2024-01,AFRICA,Kenya,paid_social,facebook,acquisition,ios,1336.487405,6422.555016,2589289.954,195.3089752,4.782027365,73.3289946,22.35149676
2024-01,AFRICA,Kenya,paid_social,facebook,activation,android,1066.656397,13248.16068,2464321.945,56.39582544,73.59726743,59.56601183,19.74461113
2024-01,AFRICA,Kenya,paid_social,snapchat,acquisition,ios,798.4576303,17287.71815,2021881.848,1.794092327,1.173485768,34.98201176,26.31883264
2024-01,AFRICA,Kenya,sem,adwords,brand_protection,web,1043.138412,6828.298973,15311.90197,4.180982494,14.49991941,94.51356684,14.72883222
2024-01,AFRICA,Kenya,sem,adwords,non_brand,web,6640.178296,23145.17042,186447.4411,0.6133605861,97.96896418,239.4162632,28.02536922
2024-01,AFRICA,Morocco,display,google,acquisition,android,132920.0831,3464687.537,237509694.6,58066.80748,21874.63984,3729.680552,35.62375502
2024-01,AFRICA,Morocco,display,google,acquisition,ios,40697.02885,298297.0256,44051283.76,7783.216163,19.46519773,1255.685868,47.5286968
2024-01,AFRICA,Morocco,display,google,activation,android,5869.839509,126916.3273,9136401.895,207.7904291,594.9603347,334.8561203,22.9181613
2024-01,AFRICA,Morocco,paid_social,facebook,acquisition,android,2778.129659,155280.2715,10787548.37,4515.201019,1336.30277,195.6936743,16.72273951
2024-01,AFRICA,Morocco,paid_social,facebook,acquisition,ios,5599.673423,46254.9793,19044465.97,1110.623719,26.32137995,299.1854981,25.74298272
2024-01,AFRICA,Morocco,paid_social,facebook,activation,android,1677.56622,19170.15526,3781357.025,103.6794326,255.8953069,160.3288157,14.1437998
2024-01,AFRICA,Morocco,paid_social,snapchat,acquisition,ios,3018.801767,57332.47717,7563482.675,12.59584116,4.124182112,82.58539146,48.8181551
2024-01,AFRICA,Morocco,paid_social,tiktok,acquisition,android,4670.189058,82751.92788,20769757.71,2491.993374,1487.102895,312.1491144,16.8363585
2024-01,AFRICA,Morocco,paid_social,tiktok,acquisition,ios,5401.755203,28336.63408,9744842.456,855.2841887,169.7062854,228.2879971,36.93007764
2024-01,AFRICA,Morocco,sem,adwords,brand_protection,web,1004.209709,5668.339092,21478.68056,1.185215823,16.73228222,28.42129329,48.4429388
2024-01,AFRICA,Morocco,sem,adwords,non_brand,web,17474.6166,89749.63382,694143.7914,5.364313745,263.8784665,607.4269727,40.5227672
2024-01,AFRICA,Nigeria,display,google,acquisition,android,19599.83887,95892.57286,12435679.56,13435.00927,9751.548883,1584.168386,13.10086515
2024-01,AFRICA,Nigeria,display,google,acquisition,ios,7827.325884,41011.40751,5909049.085,3117.852102,45.6725371,589.1332398,13.71977113
2024-01,AFRICA,Nigeria,display,google,activation,android,1176.643398,17609.63494,2296145.22,16.60009244,69.91923683,83.37947674,19.63701172
2024-01,AFRICA,Nigeria,paid_social,facebook,acquisition,android,2181.513531,36013.35199,6033631.92,4238.828225,3165.654465,237.636109,9.25790624
2024-01,AFRICA,Nigeria,paid_social,facebook,acquisition,ios,9852.528547,57804.66883,24476138.77,2130.865791,73.39198814,901.8682793,16.04773695
2024-01,AFRICA,Nigeria,paid_social,facebook,activation,android,1247.102477,11065.2846,1863690.704,41.12409748,140.525035,68.37620432,19.73521251
2024-01,AFRICA,Nigeria,paid_social,snapchat,acquisition,ios,1351.17395,67399.2987,8512506.317,31.00713227,12.64993073,164.2880348,12.31773806
2024-01,AFRICA,Nigeria,sem,adwords,brand_protection,web,1063.083896,6021.256723,15464.31899,2.379028581,11.30934602,106.438123,14.63216225
2024-01,AFRICA,Nigeria,sem,adwords,non_brand,web,5776.925265,22826.69841,176722.1832,1.801248402,52.69798442,355.3730964,22.74332949
2024-01,AFRICA,Tunisia,display,google,acquisition,android,19692.44487,554865.4676,41653722.54,12186.4341,5792.842674,1295.914422,16.32279115
2024-01,AFRICA,Tunisia,display,google,acquisition,ios,8777.750422,91215.67779,11198387.12,2055.929952,9.529358268,448.9174206,24.84627855
2024-01,AFRICA,Tunisia,display,google,activation,android,1953.497846,23172.98648,2195699.45,58.00534259,148.6354695,129.395832,18.98571269
2024-01,AFRICA,Tunisia,paid_social,facebook,acquisition,android,1862.096314,130815.8072,11599190.32,3621.210188,1081.739043,181.3312728,11.05017884
2024-01,AFRICA,Tunisia,paid_social,facebook,acquisition,ios,3314.440568,26815.80861,12964542.14,512.3679782,23.49534847,195.0797652,23.95940981
2024-01,AFRICA,Tunisia,paid_social,facebook,activation,android,1593.192201,17869.43546,4269753.165,117.9176373,199.6907803,153.8548747,10.40554415
2024-01,AFRICA,Tunisia,paid_social,snapchat,acquisition,ios,868.2590954,13665.23326,1834667.388,0.581679528,0.0,25.84399328,50.58308542
2024-01,AFRICA,Tunisia,sem,adwords,brand_protection,web,370.309106,1662.854305,4386.284503,0.5910459155,5.449343983,11.43072613,32.16673276
2024-01,AFRICA,Tunisia,sem,adwords,non_brand,web,1505.987431,8405.721173,61818.9237,0.0,51.48256957,76.85731032,21.58784707
2024-01,ECA,Georgia,display,google,acquisition,android,18963.97355,182477.4893,16398956.83,8966.958505,4359.926398,1427.3185,13.53377917
2024-01,ECA,Georgia,display,google,acquisition,ios,20231.8492,114131.9702,17395801.19,4811.312159,5.912963377,1462.711507,16.84272179
2024-01,ECA,Georgia,display,google,activation,all,602.2771826,4908.818848,377262.9379,0.0,34.5128668,45.80875652,18.77962569
2024-01,ECA,Georgia,display,google,activation,android,2187.031458,15729.72509,1642885.437,42.29228733,98.91211409,75.29019,32.51985461
2024-01,ECA,Georgia,paid_social,facebook,acquisition,android,869.4735886,31440.12674,1835339.897,744.4286119,212.6276559,35.52848275,30.23673354
2024-01,ECA,Georgia,paid_social,facebook,acquisition,ios,808.2944265,4678.238775,1912303.456,124.7238973,1.788025984,65.038817,18.32986425
2024-01,ECA,Georgia,sem,adwords,brand_protection,web,1575.699066,6324.311576,13405.89438,0.0,8.365222874,33.26807751,66.71067308
2024-01,ECA,Georgia,sem,adwords,non_brand,web,4513.177967,13207.60396,104397.3741,0.0,29.36497808,81.82429638,80.58713447
2024-01,ECA,Ukraine,apple_search_ads,apple_search_ads,brand_protection,ios,3873.683328,8808.572031,31223.71143,3895.017995,1901.48224,538.271969,7.644709506
2024-01,ECA,Ukraine,apple_search_ads,apple_search_ads,non_brand,ios,57139.7275,64690.07463,16279464.85,14827.20793,7410.20097,4360.610419,15.62563816
2024-01,ECA,Ukraine,display,google,acquisition,android,42790.94415,171133.3093,23534455.24,18600.96881,10447.45534,2180.876795,22.97606075
2024-01,ECA,Ukraine,display,google,acquisition,ios,19327.50987,56514.20906,11080235.81,5588.312404,3.063543289,962.6731135,23.48358665
2024-01,ECA,Ukraine,display,google,activation,android,2052.683565,14039.59026,2278094.438,126.1876356,142.7285875,138.8547137,22.89097452
2024-01,ECA,Ukraine,paid_social,facebook,acquisition,android,1204.762806,32090.86105,1612766.283,1313.919648,316.6623454,33.19948407,54.49796201
2024-01,ECA,Ukraine,paid_social,facebook,acquisition,ios,8269.746022,25897.14101,9144624.895,635.3211512,6.01358534,239.4556871,35.42952669
2024-01,ECA,Ukraine,paid_social,facebook,activation,android,673.8230026,2710.665643,732530.4169,21.11566034,35.53707378,34.89883234,22.1311558
2024-01,ECA,Ukraine,sem,adwords,brand_protection,web,10172.92807,39560.62259,81402.24823,0.0,85.34445931,630.3552162,25.08119391
2024-01,ECA,Ukraine,sem,adwords,non_brand,web,30576.58251,183286.9585,1474403.125,19.76916037,330.2109579,1494.647912,20.46204843
2024-01,SEE,Croatia,apple_search_ads,apple_search_ads,brand_protection,ios,11372.94543,2608.776659,7850.997873,1102.203884,484.2129807,120.1593907,98.60629801
2024-01,SEE,Croatia,apple_search_ads,apple_search_ads,non_brand,ios,11864.82198,11825.77382,2202190.518,2186.942586,924.6121517,527.8541749,33.88204029
2024-01,SEE,Croatia,display,google,acquisition,android,10047.6557,24519.43486,3618081.494,3954.800484,1790.684434,582.4185375,17.20264511
2024-01,SEE,Croatia,display,google,acquisition,ios,3236.57158,3168.141222,970334.5058,543.7684334,0.0,99.01053392,33.06573531
